Original,Filtered
-58906.29832629648,-6983.896353397489
-58820.62518260989,-6797.700413626205
-58563.51498591461,-6461.001285705386
-58153.41708585785,-6001.9869448582895
-57635.22521707498,-5464.796967833878
-57073.47800308672,-4902.707935786545
-56538.65081338966,-4368.254869683959
-56090.583306452754,-3903.0232923618755
-55764.36210796785,-3530.1509981024483
-55563.401441732814,-3251.86050922354
-55462.17988650134,-3052.8080576685647
-55417.851629821125,-2908.1773954938235
-55386.87989020423,-2793.8879683686487
-55341.03495142946,-2695.5647095743866
-55277.23261964908,-2613.298979265285
-55217.76355739095,-2560.6170654110847
-55200.78799452806,-2558.021336045143
-55264.403779434746,-2623.3361029015755
-55429.93150717024,-2762.244723314947
-55690.45771114171,-2962.4415236422337
-56008.96708086043,-3193.7036010422653
-56327.1398019649,-3414.2616903893186
-56582.20193546585,-3581.740788273009
-56726.36827901642,-3665.34701548883
-56742.40126227164,-3655.4352159003306
-56649.99123665275,-3567.3002120833694
-56500.652749424175,-3437.7824194590758
-56362.61561560867,-3315.511318934131
-56300.48898929562,-3247.6106301778796
-56356.1763789025,-3266.811236911401
-56537.063064237125,-3382.7998870648635
-56815.05903347508,-3580.3132383535076
-57136.505424841416,-3824.3954916265034
-57439.45342510657,-4071.047311285607
-57672.56508148998,-4279.9021491737985
-57809.58519798151,-4425.068359116336
-57855.034786708886,-4501.004566558278
-57839.84384741692,-4521.98488034881
-57809.00360071348,-4515.787455472672
-57805.83398660061,-4514.02030533512
-57858.31885961416,-4542.412904837564
-57971.935759264205,-4614.182164224217
-58130.92317119955,-4728.340786617371
-58306.89161880744,-4873.005674816794
-58471.15796546998,-5032.014354802555
-58606.017139479714,-5192.06399119925
-58710.72139423347,-5347.51207118437
-58799.97137888431,-5500.929658843931
-58895.49791924141,-5659.135815187176
-59013.853181468745,-5826.19156301651
-59154.96388642402,-5996.082478251857
-59295.85241916573,-6148.127684491757
-59392.26422797664,-6247.3931551180995
-59388.32464894394,-6250.790896962121
-59231.65663949825,-6117.627285667244
-58889.50452434902,-5821.751796862313
